rent,holiday,holiday_before,holiday_after,ave_temper,low_temper,high_temper,ave_rain,rain_exist,ave_wind
000,0,0,1,25.9,23.9,28.1,47,1,0.1
46000,0,0,0,27.9,24.4,33,4,1,0.1
23000,0,1,0,29.4,25.1,34.1,0,0,0.2
13500,1,0,0,29.4,25.1,34.1,0.5,1,0.2
23500,0,1,1,24.8,20.7,28.5,0,0,1.1
31500,1,1,0,24.8,20.7,28.5,0,0,1.1
48500,1,0,1,24.4,20.2,29.6,0,0,0.7
26000,0,0,1,24.7,19.8,30.9,0,0,0.6
23500,0,0,0,26,21.1,31.1,0,0,0.9
39500,0,0,0,25.7,22.9,30.9,0,0,0.8
43000,0,0,0,26.1,22.5,31.3,0,0,0.5
41000,0,1,0,25.3,21.5,29.9,0,0,0.9
48500,1,1,0,22.4,19.8,26.4,0,0,0.9
000,1,0,1,23.7,18.9,28.3,0,0,1
49000,0,0,1,24.5,20.2,29.7,0,0,0.7
35000,0,0,0,24.1,21,27.6,3.5,1,0.7
21000,0,0,0,24.7,21.9,29.4,0,0,1
15000,0,0,0,21.9,18.6,25.5,54,1,1.6
21500,0,1,0,22.2,18,27.3,0,0,1.2
30500,1,1,0,22.1,16.9,28,0,0,0.9
46000,1,0,1,22.2,17.9,26.5,0,0,0.5
23000,0,0,1,23.2,18.7,28.7,0,0,0.6
000,0,0,0,22.9,20.5,26.5,2.5,1,0.6
14000,0,0,0,22.3,20.6,25,13,1,0.1
000,0,0,0,22.7,21.2,27.9,43.5,1,0.3
12500,0,1,0,24.6,21.2,28.2,4,1,0.2
000,1,1,0,25.3,22.4,30,4,1,3.3
000,1,0,1,24.3,22.5,27,0,0,1
31000,0,0,1,23.7,21.8,27.1,0.5,1,0.6
16000,0,0,0,23.5,22.1,26.8,72,1,0.8
35000,0,1,0,23.6,20.4,27,8.5,1,1.4
40500,1,1,0,20.1,17.1,22.6,9,1,1.2
26000,1,1,1,21.3,17,26.4,0,0,1.1
54000,1,1,1,21.8,19.9,24.2,0,0,1
26000,1,0,1,23.2,19.1,27.8,0,0,1
54000,0,0,1,22.5,18.5,28.1,0,0,1.3
49500,0,0,0,21.5,15.6,26.9,0,0,1.1
33500,0,0,0,20.6,14.8,25.1,0,0,1.9
35500,0,0,0,18.5,12.6,24.4,0,0,1.1
22000,0,1,0,19.1,14.8,23,0,0,0.8
38000,1,1,0,18.6,16.8,21.3,0,0,0.7
29500,1,0,1,17.8,15.3,19.6,2,1,2
29500,0,0,1,18.6,14.7,22.9,0,0,1.6
